date,cod,segment,part
2025-09-02,VALE3,Mats Básicos / Mineração,11.122
2025-09-02,ITUB4,Financ e Outros / Interms Financs,8.382
2025-09-02,PETR4,"Petróleo, Gás e Biocombustíveis",6.444
2025-09-02,PETR3,"Petróleo, Gás e Biocombustíveis",4.163
2025-09-02,BBDC4,Financ e Outros / Interms Financs,3.998
2025-09-02,ELET3,Utilidade Públ / Energ Elétrica,3.843
2025-09-02,SBSP3,Utilidade Públ / Água Saneamento,3.398
2025-09-02,B3SA3,Financeiro e Outros/Serviços Financeiros Diversos,3.161
2025-09-02,ITSA4,Financ e Outros / Holdings Divers,3.095
2025-09-02,BPAC11,Financ e Outros / Interms Financs,2.925
2025-09-02,BBAS3,Financ e Outros / Interms Financs,2.81
2025-09-02,WEGE3,Bens Indls / Máqs e Equips,2.633
2025-09-02,EMBR3,Bens Indls / Mat Transporte,2.632
2025-09-02,ABEV3,Cons N Cíclico / Bebidas,2.464
2025-09-02,EQTL3,Utilidade Públ / Energ Elétrica,2.121
2025-09-02,RDOR3,Saúde/SM Hosp An.Diag,2.001
2025-09-02,RENT3,Diversos,1.651
2025-09-02,SUZB3,Mats Básicos / Madeira e Papel,1.589
2025-09-02,PRIO3,"Petróleo, Gás e Biocombustíveis",1.357
2025-09-02,ENEV3,Utilidade Públ / Energ Elétrica,1.356
2025-09-02,VBBR3,"Petróleo, Gás e Biocombustíveis",1.257
2025-09-02,VIVT3,Telecomunicação,1.168
2025-09-02,TOTS3,Tec.Informação/Programas Servs,1.065
2025-09-02,RADL3,Saúde/Comércio Distr.,1.064
2025-09-02,GGBR4,Mats Básicos / Sid Metalurgia,1.011
2025-09-02,UGPA3,"Petróleo, Gás e Biocombustíveis",0.992
2025-09-02,BBDC3,Financ e Outros / Interms Financs,0.985
2025-09-02,CMIG4,Utilidade Públ / Energ Elétrica,0.983
2025-09-02,BBSE3,Financ e Outros / Previd  Seguros,0.944
2025-09-02,CPLE6,Utilidade Públ / Energ Elétrica,0.938
2025-09-02,TIMS3,Telecomunicação,0.859
2025-09-02,RAIL3,Bens Indls/Transporte,0.816
2025-09-02,LREN3,Consumo Cíclico / Comércio,0.761
2025-09-02,ENGI11,Utilidade Públ / Energ Elétrica,0.741
2025-09-02,MOTV3,Bens Indls/Transporte,0.676
2025-09-02,KLBN11,Mats Básicos / Madeira e Papel,0.674
2025-09-02,ASAI3,Cons N Cíclico / Comércio Distr.,0.658
2025-09-02,ELET6,Utilidade Públ / Energ Elétrica,0.607
2025-09-02,HAPV3,Saúde/SM Hosp An.Diag,0.606
2025-09-02,BRFS3,Cons N  Básico / Alimentos Processados,0.575
2025-09-02,ALOS3,Financ e Outros / Explor Imóveis,0.524
2025-09-02,SMFT3,Consumo Cíclico/Viagens e Lazer,0.493
2025-09-02,SANB11,Financ e Outros / Interms Financs,0.476
2025-09-02,EGIE3,Utilidade Públ / Energ Elétrica,0.467
2025-09-02,PSSA3,Financ e Outros / Previd  Seguros,0.44
2025-09-02,BRAV3,"Petróleo, Gás e Biocombustíveis",0.436
2025-09-02,ISAE4,Utilidade Públ / Energ Elétrica,0.427
2025-09-02,MULT3,Financ e Outros / Explor Imóveis,0.409
2025-09-02,CXSE3,Financ e Outros / Previd  Seguros,0.401
2025-09-02,CMIN3,Mats Básicos / Mineração,0.399
2025-09-02,TAEE11,Utilidade Públ / Energ Elétrica,0.354
2025-09-02,NATU3,Cons N Cíclico / Pr Pessoal Limp,0.352
2025-09-02,CPFE3,Utilidade Públ / Energ Elétrica,0.341
2025-09-02,CYRE3,Consumo Cíclico/Constr Civil,0.334
2025-09-02,HYPE3,Saúde/Comércio Distr.,0.33
2025-09-02,CSAN3,"Petróleo, Gás e Biocombustíveis",0.326
2025-09-02,FLRY3,Saúde/SM Hosp An.Diag,0.322
2025-09-02,POMO4,Bens Indls / Mat Transporte,0.286
2025-09-02,GOAU4,Mats Básicos / Sid Metalurgia,0.277
2025-09-02,STBP3,Bens Indls/Transporte,0.273
2025-09-02,CSNA3,Mats Básicos / Sid Metalurgia,0.257
2025-09-02,COGN3,Diversos,0.248
2025-09-02,IGTI11,Financ e Outros / Explor Imóveis,0.232
2025-09-02,DIRR3,Consumo Cíclico/Constr Civil,0.231
2025-09-02,AZZA3,Consumo Cíclico / Comércio,0.22
2025-09-02,MRFG3,Cons N  Básico / Alimentos Processados,0.215
2025-09-02,CURY3,Consumo Cíclico/Constr Civil,0.214
2025-09-02,BRAP4,Mats Básicos / Mineração,0.194
2025-09-02,IRBR3,Financ e Outros / Previd  Seguros,0.18
2025-09-02,RECV3,"Petróleo, Gás e Biocombustíveis",0.169
2025-09-02,VIVA3,Consumo Cíclico / Tecid Vest Calç,0.167
2025-09-02,YDUQ3,Diversos,0.162
2025-09-02,SLCE3,Cons N Ciclico/Agropecuária,0.16
2025-09-02,AURE3,Utilidade Públ / Energ Elétrica,0.157
2025-09-02,MGLU3,Consumo Cíclico / Comércio,0.138
2025-09-02,MRVE3,Consumo Cíclico/Constr Civil,0.134
2025-09-02,BEEF3,Cons N  Básico / Alimentos Processados,0.122
2025-09-02,BRKM5,Mats Básicos / Químicos,0.113
2025-09-02,CEAB3,Consumo Cíclico / Comércio,0.112
2025-09-02,VAMO3,Diversos,0.098
2025-09-02,USIM5,Mats Básicos / Sid Metalurgia,0.094
2025-09-02,PCAR3,Cons N Cíclico / Comércio Distr.,0.075
2025-09-02,RAIZ4,"Petróleo, Gás e Biocombustíveis",0.071
2025-09-02,CVCB3,Consumo Cíclico/Viagens e Lazer,0.045
