symbol,n_obs,corr,beta,r2,slope_pvalue
BBAS3.SA,2652,0.027816133308760413,0.06508242942456849,0.0007737372722507306,0.1521251902673294
MGLU3.SA,2652,0.012504827975456006,0.049936275099042804,0.0001563707226957471,0.5197765674751249
ELET6.SA,2652,0.016023617631700342,0.04164492564841708,0.00025675632200693806,0.40946167265479394
RDOR3.SA,1173,0.013171338897925024,0.03299508881979281,0.00017348416836399279,0.6522454771084669
GGBR4.SA,2652,0.007323690322215293,0.01910951796307207,5.363643993570996e-05,0.7061888217231507
ABEV3.SA,2652,0.006792166385646643,0.01041421785867386,4.6133524210308164e-05,0.7266244898527932
B3SA3.SA,2652,-0.001421297641039813,-0.003123439680081161,2.020086984425336e-06,0.9416796645901442
BBDC4.SA,2652,-0.0016852647990039128,-0.0034693108529532954,2.8401174427616987e-06,0.9308732581446875
EQTL3.SA,2652,-0.0032478683595046688,-0.005206193253779792,1.0548648880671545e-05,0.8672292660822705
LREN3.SA,2652,-0.0026255983284385687,-0.006298613191307488,6.893766582299404e-06,0.8924945206319819
ITUB4.SA,2652,-0.014194512749495156,-0.025403757446867337,0.00020148419219558053,0.46497760171649094
EMBR3.SA,2652,-0.011629748663135379,-0.030457674300086973,0.00013525105396769918,0.5494118280661886
VALE3.SA,2652,-0.014824184473477626,-0.03714857274246992,0.000219756445303695,0.4454088046047191
KLBN11.SA,2652,-0.03703378796347473,-0.06281432662521742,0.0013715014509236058,0.05653286630044487
PETR4.SA,2652,-0.025755822597484174,-0.06999768994362296,0.0006633623976730765,0.18485394458657373
SUZB3.SA,2652,-0.037285009395944146,-0.07073358128339427,0.0013901719256556439,0.054876875472912826
WEGE3.SA,2652,-0.042931203704457736,-0.08433987740525459,0.001843088251513645,0.02704762812914709
PRIO3.SA,2652,-0.023199620968471384,-0.09411887112586559,0.0005382224130807369,0.2323521697805222
