symbol,n_obs,corr,beta,r2,slope_pvalue
PRIO3.SA,2652,-0.023199620968471384,-0.09411887112586559,0.0005382224130807369,0.2323521697805222
WEGE3.SA,2652,-0.042931203704457736,-0.08433987740525459,0.001843088251513645,0.02704762812914709
SUZB3.SA,2652,-0.037285009395944146,-0.07073358128339427,0.0013901719256556439,0.054876875472912826
PETR4.SA,2652,-0.025755822597484174,-0.06999768994362296,0.0006633623976730765,0.18485394458657373
KLBN11.SA,2652,-0.03703378796347473,-0.06281432662521742,0.0013715014509236058,0.05653286630044487
VALE3.SA,2652,-0.014824184473477626,-0.03714857274246992,0.000219756445303695,0.4454088046047191
EMBR3.SA,2652,-0.011629748663135379,-0.030457674300086973,0.00013525105396769918,0.5494118280661886
ITUB4.SA,2652,-0.014194512749495156,-0.025403757446867337,0.00020148419219558053,0.46497760171649094
LREN3.SA,2652,-0.0026255983284385687,-0.006298613191307488,6.893766582299404e-06,0.8924945206319819
EQTL3.SA,2652,-0.0032478683595046688,-0.005206193253779792,1.0548648880671545e-05,0.8672292660822705
